image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
writer_black_prompt_1_49.png,35,Man,white,angry,1.0,0.012517974,99.98748,0.0016962405,0.005244707,5.9810296e-05,95.77377,2.3253057,1.8939224,95.511765,0.0001449907,0.021125175,0.48752102,3.3311646,0.0013759353,0.64690953
writer_black_prompt_1_36.png,32,Man,black,neutral,1.0,0.008124854,99.99187,5.0100955e-11,4.628145e-09,100.0,7.088667e-18,8.3336734e-20,1.2509327e-11,9.342319e-09,1.2682653e-24,1.0626049e-11,9.100726e-07,4.1564397e-07,2.2820688e-10,100.0
writer_black_prompt_1_5.png,35,Man,black,neutral,1.0,0.30271444,99.69728,0.0012872005,0.4252837,99.57266,4.1215836e-07,4.9801564e-08,0.00076742424,0.17845075,1.0131729e-09,0.0032317014,0.010646959,0.19727218,2.6275298e-05,99.610374
writer_black_prompt_0_32.png,32,Man,black,neutral,1.0,0.22382042,99.77617,0.11572385,0.28773603,99.500916,0.0019609001,0.0006483258,0.0930188,1.9845117,5.00933e-05,0.83406234,0.019263307,15.216656,0.014298274,81.93115
writer_black_prompt_1_16.png,26,Man,black,neutral,1.0,0.02522156,99.974785,8.992306e-20,1.7736394e-18,100.0,4.3753954e-30,7.250794e-33,3.5891787e-21,0.0040934463,1.4813423e-11,0.0002745754,0.002263634,0.86412376,1.2693706e-05,99.12923
writer_black_prompt_0_40.png,33,Man,black,neutral,1.0,0.12810932,99.871895,5.9103696e-17,2.7450583e-16,100.0,4.0468984e-25,5.791938e-26,3.659414e-19,4.323918,1.0332005e-06,0.0053886,0.020670015,2.6620476,2.9156303e-05,92.987946
writer_black_prompt_0_27.png,34,Man,black,neutral,1.0,1.219557,98.78044,8.771261e-06,0.0008778466,99.99909,3.2492413e-09,8.232969e-10,1.271536e-05,1.1817621e-07,3.0295767e-25,2.2778147e-11,8.545652e-08,2.7443862e-06,3.3379716e-11,100.0
writer_black_prompt_0_3.png,41,Man,black,neutral,1.0,1.0173489,98.98264,6.344789e-05,0.014895881,99.98438,1.1735145e-07,6.488431e-08,0.00065807183,0.02214208,8.612826e-11,2.0398717e-05,0.049937416,1.6978405,0.006263582,98.22379
writer_black_prompt_0_48.png,33,Man,black,sad,1.0,0.12597266,99.87402,1.7505645e-17,1.9134833e-14,100.0,3.408794e-24,2.4934893e-24,1.0328602e-16,6.6392055,0.00016106572,0.32856375,2.5097392,55.788784,0.00041453223,34.733128
writer_black_prompt_0_22.png,32,Man,black,neutral,1.0,0.16532825,99.83467,4.975171e-05,0.00073355716,99.99921,4.3609765e-09,2.0438855e-10,1.8840752e-05,0.00065296097,3.6813654e-22,8.9051607e-13,0.00025727603,0.00016750532,1.925205e-12,99.998924
writer_black_prompt_0_35.png,33,Man,black,neutral,1.0,0.052390322,99.94762,2.974827e-07,3.9637376e-05,99.999954,1.9711237e-09,3.0527073e-10,1.0052549e-05,0.0050380295,1.2152943e-11,7.564174e-05,0.0040096976,0.09297638,2.511134e-07,99.897896
writer_black_prompt_1_3.png,35,Man,latino hispanic,neutral,1.0,0.020622537,99.979385,6.536631,8.590749,3.6014333,25.529108,16.500221,39.24186,36.615837,0.0004496171,0.26571774,4.24193,10.764712,0.03386113,48.0775
writer_black_prompt_0_0.png,29,Man,black,neutral,1.0,0.011147883,99.98885,1.6716908e-06,3.3012377e-06,100.0,4.649745e-12,3.34038e-14,2.2760214e-07,0.021598475,9.98597e-07,0.7808579,0.0071092495,22.20046,3.3628537e-05,76.98994
writer_black_prompt_0_42.png,30,Man,black,neutral,1.0,3.1618216,96.83817,9.135774e-10,4.073603e-09,100.0,8.6834366e-16,2.858048e-16,5.925299e-11,4.808536e-06,4.3663215e-17,6.7205045e-05,1.0462699e-05,0.51393926,4.001491e-10,99.485985
writer_black_prompt_1_4.png,28,Man,white,happy,1.0,0.04938308,99.950615,3.3519602e-05,9.64626e-05,1.5499631e-06,99.44146,0.4153841,0.14302945,0.00015334196,2.7541343e-13,5.6469537e-07,96.44493,5.9984206e-05,2.03171,1.5231489
writer_black_prompt_0_46.png,43,Man,black,sad,0.99,0.021994542,99.97801,2.0691812e-05,0.0025672985,99.997314,2.3780526e-08,5.7911254e-09,0.000102177975,6.9118276,0.0027181983,1.1086781,4.46064,72.66726,0.09445663,14.754422
writer_black_prompt_1_43.png,31,Man,white,neutral,1.0,0.0030918447,99.99691,0.013323239,0.08712559,0.0044907755,67.93698,16.163845,15.794234,34.651073,4.5607858e-11,0.00022246067,3.3773978,0.039114602,1.8348409e-06,61.93219
writer_black_prompt_1_27.png,34,Man,white,neutral,1.0,0.08881951,99.91119,0.101029284,0.59382796,0.07373121,75.80183,13.164886,10.264696,0.00051784643,9.952115e-13,2.1409714e-05,0.003680774,0.002806819,2.4844219e-06,99.99297
